n,n_w,p,kappa,noise_std,lambda,R_squared_ind,R_squared_sum
7500,200,5000,0.05,0.5,0.01,0.4540399905965592,0.7848590801274994
7500,200,5000,0.05,0.5,0.1109090909090909,0.45431308514078106,0.7855125632931929
7500,200,5000,0.05,0.5,0.2118181818181818,0.4545822571706326,0.7861577371269287
7500,200,5000,0.05,0.5,0.3127272727272727,0.45484758206580145,0.7867947547900289
7500,200,5000,0.05,0.5,0.4136363636363636,0.45510913335984204,0.7874237657314588
7500,200,5000,0.05,0.5,0.5145454545454545,0.4553669827956678,0.7880449157997158
7500,200,5000,0.05,0.5,0.6154545454545455,0.45562120037905507,0.7886583473506794
7500,200,5000,0.05,0.5,0.7163636363636363,0.4558718544302467,0.7892641993515881
7500,200,5000,0.05,0.5,0.8172727272727273,0.45611901163372187,0.7898626074813032
7500,200,5000,0.05,0.5,0.9181818181818182,0.4563627370862166,0.7904537042270258
7500,200,5000,0.05,0.5,1.019090909090909,0.4566030943430638,0.7910376189776016
7500,200,5000,0.05,0.5,1.12,0.4568401454629208,0.791614478113558
7500,200,5000,0.05,0.5,1.220909090909091,0.45707395105095044,0.7921844050940118
7500,200,5000,0.05,0.5,1.3218181818181818,0.45730457030051924,0.7927475205405659
7500,200,5000,0.05,0.5,1.4227272727272726,0.4575320610334696,0.7933039423183222
7500,200,5000,0.05,0.5,1.5236363636363637,0.45775647973902467,0.7938537856141268
7500,200,5000,0.05,0.5,1.6245454545454543,0.4579778816113797,0.7943971630121529
7500,200,5000,0.05,0.5,1.7254545454545454,0.45819632058603066,0.7949341845669331
7500,200,5000,0.05,0.5,1.8263636363636364,0.45841184937489043,0.7954649578739363
7500,200,5000,0.05,0.5,1.9272727272727272,0.4586245195002401,0.79598958813779
7500,200,5000,0.05,0.5,2.028181818181818,0.4588343813275575,0.7965081782382333
7500,200,5000,0.05,0.5,2.129090909090909,0.4590414840972715,0.797020828793899
7500,200,5000,0.05,0.5,2.2299999999999995,0.4592458759554769,0.7975276382239948
