n,n_w,p,kappa,noise_std,lambda,iter,R_squared_ind,R_squared_sum
7500,200,5000,0.05,0.5,10.0,1,0.4692873691009779,3.2407936837380165
7500,200,5000,0.05,0.5,10.0,2,0.5024183877831455,0.5560921024826854
7500,200,5000,0.05,0.5,10.0,3,0.4718087556135795,0.551206625856347
7500,200,5000,0.05,0.5,10.0,4,0.4631025523221954,5.753620825744652
7500,200,5000,0.05,0.5,10.0,5,0.4946709652380418,0.1425877952613365
7500,200,5000,0.05,0.5,10.0,6,0.4576555234758737,1.9678210287636284
7500,200,5000,0.05,0.5,10.0,7,0.4742623861206279,5.0871785600948645
7500,200,5000,0.05,0.5,10.0,8,0.4330655825689028,0.2685031843292259
7500,200,5000,0.05,0.5,10.0,9,0.4522298078842993,0.4377934270554843
7500,200,5000,0.05,0.5,10.0,10,0.4471951176886254,0.0034981476109501
7500,200,5000,0.05,0.5,10.0,11,0.4719224616210817,2.4547721013269563
7500,200,5000,0.05,0.5,10.0,12,0.5050170469250315,0.6552241579309495
7500,200,5000,0.05,0.5,10.0,13,0.505205368774689,0.0241540367775606
7500,200,5000,0.05,0.5,10.0,14,0.4741869096163535,0.3200422175981178
7500,200,5000,0.05,0.5,10.0,15,0.4690880654927267,3.069207035855425
7500,200,5000,0.05,0.5,10.0,16,0.4683663020808787,0.7183809192768363
7500,200,5000,0.05,0.5,10.0,17,0.4499497296529904,0.1835210669770925
7500,200,5000,0.05,0.5,10.0,18,0.4709041264686702,0.496249633306053
7500,200,5000,0.05,0.5,10.0,19,0.4487099516545345,0.7281581575991547
7500,200,5000,0.05,0.5,10.0,20,0.4875092164508524,0.6996316305140338
7500,200,5000,0.05,2.0,10.0,1,0.1795544400858362,0.4475292437852626
7500,200,5000,0.05,2.0,10.0,2,0.20006521296343,0.0438101101667566
7500,200,5000,0.05,2.0,10.0,3,0.1515670302810592,0.5421678226816332
7500,200,5000,0.05,2.0,10.0,4,0.1576333284546656,0.4683705214157273
7500,200,5000,0.05,2.0,10.0,5,0.160560894766741,0.4191958703263679
7500,200,5000,0.05,2.0,10.0,6,0.1777118739876212,0.0332923734486773
7500,200,5000,0.05,2.0,10.0,7,0.1667032301903281,0.1893692794301356
7500,200,5000,0.05,2.0,10.0,8,0.1805871251381929,0.1003725453407478
7500,200,5000,0.05,2.0,10.0,9,0.1625939007264227,0.2677707449042961
7500,200,5000,0.05,2.0,10.0,10,0.1664153759260136,0.2221058001778316
7500,200,5000,0.05,2.0,10.0,11,0.1929605538080466,0.4906530475797993
7500,200,5000,0.05,2.0,10.0,12,0.1526107395478364,2.390900368276443
7500,200,5000,0.05,2.0,10.0,13,0.1728455587981472,9.250084555105476
7500,200,5000,0.05,2.0,10.0,14,0.1557000634117478,0.0751841587921683
7500,200,5000,0.05,2.0,10.0,15,0.1551349000424079,0.2996192064367933
7500,200,5000,0.05,2.0,10.0,16,0.1404902773087764,0.5078083167418798
7500,200,5000,0.05,2.0,10.0,17,0.1876492725937473,0.2326135269518577
7500,200,5000,0.05,2.0,10.0,18,0.1356239437160248,0.3606868262886697
7500,200,5000,0.05,2.0,10.0,19,0.1510901658811065,0.4804881943136869
7500,200,5000,0.05,2.0,10.0,20,0.1836610352130616,2.029050718762928
7500,200,5000,0.05,3.0,10.0,1,0.1049834905225475,0.4341387729430382
7500,200,5000,0.05,3.0,10.0,2,0.0825425256157808,0.4687292626418816
7500,200,5000,0.05,3.0,10.0,3,0.086149858175926,3.9305603393467066
7500,200,5000,0.05,3.0,10.0,4,0.0676370943004555,0.376437025408037
7500,200,5000,0.05,3.0,10.0,5,0.0608662711533519,0.1572773287124965
7500,200,5000,0.05,3.0,10.0,6,0.0955712142537723,0.5513946572125931
7500,200,5000,0.05,3.0,10.0,7,0.0995063265033772,0.1769763490795047
7500,200,5000,0.05,3.0,10.0,8,0.0829725383781081,0.2867182004451051
7500,200,5000,0.05,3.0,10.0,9,0.1058807108002779,0.5665181938421018
7500,200,5000,0.05,3.0,10.0,10,0.0912196818009812,1.1046194014994597
7500,200,5000,0.05,3.0,10.0,11,0.0688389779476983,0.2524936346531817
7500,200,5000,0.05,3.0,10.0,12,0.0719964125773049,0.54621344734256
7500,200,5000,0.05,3.0,10.0,13,0.0990948105766821,0.0817017232365362
7500,200,5000,0.05,3.0,10.0,14,0.0956042121725531,0.4256073832109871
7500,200,5000,0.05,3.0,10.0,15,0.0922658791109525,0.5404546658950997
7500,200,5000,0.05,3.0,10.0,16,0.0761227845102235,0.2678052298005837
7500,200,5000,0.05,3.0,10.0,17,0.0889769371594735,0.6960785344852343
7500,200,5000,0.05,3.0,10.0,18,0.074911744572253,0.1586261964116888
7500,200,5000,0.05,3.0,10.0,19,0.0939389699687284,0.0809859219584283
7500,200,5000,0.05,3.0,10.0,20,0.0712384137844379,0.3896043592478965
7500,200,5000,0.5,0.5,10.0,1,0.4232660365821881,0.5374860794691059
7500,200,5000,0.5,0.5,10.0,2,0.4587459786914837,1.500389877828617
7500,200,5000,0.5,0.5,10.0,3,0.4104197756402152,0.4371766229021496
7500,200,5000,0.5,0.5,10.0,4,0.4181372776051675,0.4016468762288304
7500,200,5000,0.5,0.5,10.0,5,0.4356195599861958,0.0939021897794194
7500,200,5000,0.5,0.5,10.0,6,0.4274783754899481,0.0426946955139201
7500,200,5000,0.5,0.5,10.0,7,0.4371562663103883,0.0066525075340718
7500,200,5000,0.5,0.5,10.0,8,0.4466268090967249,0.4201729736568175
7500,200,5000,0.5,0.5,10.0,9,0.3968216790370504,0.5505025406139469
7500,200,5000,0.5,0.5,10.0,10,0.4264568321621347,0.1236557068755749
7500,200,5000,0.5,0.5,10.0,11,0.4690255290628189,0.972038850843818
7500,200,5000,0.5,0.5,10.0,12,0.3745406306867606,0.2624120708656646
7500,200,5000,0.5,0.5,10.0,13,0.4114071198506451,0.0519164955574689
7500,200,5000,0.5,0.5,10.0,14,0.4074781333620379,0.6356652394411612
7500,200,5000,0.5,0.5,10.0,15,0.4766400010954024,0.1084643819411175
7500,200,5000,0.5,0.5,10.0,16,0.4279722486435425,7.201857128484523
7500,200,5000,0.5,0.5,10.0,17,0.4435688865777591,0.3528453337551394
7500,200,5000,0.5,0.5,10.0,18,0.4646368383472287,0.6769834348451073
7500,200,5000,0.5,0.5,10.0,19,0.4133879042099035,0.3339735198145199
7500,200,5000,0.5,0.5,10.0,20,0.4355030824381954,0.5552733404707113
7500,200,5000,0.5,2.0,10.0,1,0.1091224813168775,4.321479588417255
7500,200,5000,0.5,2.0,10.0,2,0.0687276100180007,0.1412837769575367
7500,200,5000,0.5,2.0,10.0,3,0.088022000570313,0.4800104962982442
7500,200,5000,0.5,2.0,10.0,4,0.1026108212489027,0.1290047840351904
7500,200,5000,0.5,2.0,10.0,5,0.0899387329990037,0.2981019767512032
7500,200,5000,0.5,2.0,10.0,6,0.1163533297634239,0.0077582109333812
7500,200,5000,0.5,2.0,10.0,7,0.0725430485165508,3.976787877060852
7500,200,5000,0.5,2.0,10.0,8,0.0915147936567743,0.3606869324421296
7500,200,5000,0.5,2.0,10.0,9,0.0777555814645104,0.4975328489922844
7500,200,5000,0.5,2.0,10.0,10,0.0845839363323403,0.3756489711313888
7500,200,5000,0.5,2.0,10.0,11,0.0999109343368853,11.266171816954548
7500,200,5000,0.5,2.0,10.0,12,0.1181544829112244,1.7426762584302276
7500,200,5000,0.5,2.0,10.0,13,0.1023722541547972,0.2690992118080403
7500,200,5000,0.5,2.0,10.0,14,0.0905893997687543,0.2958791969008987
7500,200,5000,0.5,2.0,10.0,15,0.1071274914957162,0.2476391955180346
7500,200,5000,0.5,2.0,10.0,16,0.0903215296441955,0.2408462412712
7500,200,5000,0.5,2.0,10.0,17,0.0994047293254391,0.3225319514102861
7500,200,5000,0.5,2.0,10.0,18,0.1048591731334271,0.0503198343067461
7500,200,5000,0.5,2.0,10.0,19,0.1057567335833616,1.2797228004376122
7500,200,5000,0.5,2.0,10.0,20,0.0734979058927401,0.1404169646695552
7500,200,5000,0.5,3.0,10.0,1,0.0225803353020374,4.373069745049399
7500,200,5000,0.5,3.0,10.0,2,0.0278917036620953,2.094807691319885
7500,200,5000,0.5,3.0,10.0,3,0.0169213197455457,4.741726409238015e-06
7500,200,5000,0.5,3.0,10.0,4,0.0276892165648946,0.0012463564222825
7500,200,5000,0.5,3.0,10.0,5,0.0339958975448637,0.0005907759461847
7500,200,5000,0.5,3.0,10.0,6,0.0480301042869221,0.4764515289151437
7500,200,5000,0.5,3.0,10.0,7,0.0401764154107078,0.0047184674655252
7500,200,5000,0.5,3.0,10.0,8,0.0464756692393972,0.5045468570933912
7500,200,5000,0.5,3.0,10.0,9,0.0235045266018019,4.605655783134551e-07
7500,200,5000,0.5,3.0,10.0,10,0.04708826337791,0.5071671327955326
7500,200,5000,0.5,3.0,10.0,11,0.0306177043235462,0.4645888254594112
7500,200,5000,0.5,3.0,10.0,12,0.0373161752968973,1.1124609880919258
7500,200,5000,0.5,3.0,10.0,13,0.0281581461295813,0.5133612570771443
7500,200,5000,0.5,3.0,10.0,14,0.0304794202610381,0.0028800501274572
7500,200,5000,0.5,3.0,10.0,15,0.020348005720777,0.0700630342875474
7500,200,5000,0.5,3.0,10.0,16,0.0366268694366477,0.2976775786920688
7500,200,5000,0.5,3.0,10.0,17,0.026003897071229,0.2967602061699645
7500,200,5000,0.5,3.0,10.0,18,0.0401541128330399,0.0528652210223004
7500,200,5000,0.5,3.0,10.0,19,0.047447931274859,0.2701957251350697
7500,200,5000,0.5,3.0,10.0,20,0.0557013976205188,0.3614894159616486
7500,200,5000,0.9,0.5,10.0,1,0.2882308499616393,0.5481651832226717
7500,200,5000,0.9,0.5,10.0,2,0.210672363131846,0.0165231212227567
7500,200,5000,0.9,0.5,10.0,3,0.3203566076917695,0.0632648797059014
7500,200,5000,0.9,0.5,10.0,4,0.2566792888320215,0.555192319241638
7500,200,5000,0.9,0.5,10.0,5,0.2786862786682009,0.0008937804258804
7500,200,5000,0.9,0.5,10.0,6,0.2687446115909115,0.4616220287013068
7500,200,5000,0.9,0.5,10.0,7,0.2599578355559481,0.2794311462652895
7500,200,5000,0.9,0.5,10.0,8,0.2830613783916337,0.086471457120887
7500,200,5000,0.9,0.5,10.0,9,0.2852687024110186,1.4133393591173466
7500,200,5000,0.9,0.5,10.0,10,0.2356031474108915,0.0229675265449632
7500,200,5000,0.9,0.5,10.0,11,0.3243401868325534,0.4707462443325055
7500,200,5000,0.9,0.5,10.0,12,0.2530096568795942,0.0041919471700619
7500,200,5000,0.9,0.5,10.0,13,0.2421001973229946,0.3716283394539748
7500,200,5000,0.9,0.5,10.0,14,0.2674120167641365,0.0907822184503873
7500,200,5000,0.9,0.5,10.0,15,0.2616944932074662,0.1285888135390699
7500,200,5000,0.9,0.5,10.0,16,0.2448669586187999,0.2329284493959602
7500,200,5000,0.9,0.5,10.0,17,0.2960431159401865,0.2254001694660996
7500,200,5000,0.9,0.5,10.0,18,0.272211756583028,0.2549118365299402
7500,200,5000,0.9,0.5,10.0,19,0.2502858026326773,52.89089437989304
7500,200,5000,0.9,0.5,10.0,20,0.2584297327698188,0.0011826195253463
7500,200,5000,0.9,2.0,10.0,1,0.0093913406616336,0.2783554331948191
7500,200,5000,0.9,2.0,10.0,2,0.0165775439854986,0.6194052816222666
7500,200,5000,0.9,2.0,10.0,3,0.0171048026365548,0.0012251846156428
7500,200,5000,0.9,2.0,10.0,4,0.0137147470787243,26.243716978164635
7500,200,5000,0.9,2.0,10.0,5,0.0204057435112148,0.5450478627300646
7500,200,5000,0.9,2.0,10.0,6,0.0090447557387765,0.0078607624582471
7500,200,5000,0.9,2.0,10.0,7,0.0198724646360643,0.0530774839791825
7500,200,5000,0.9,2.0,10.0,8,0.004987822642656,0.0673901907471184
7500,200,5000,0.9,2.0,10.0,9,0.0094161408733742,0.036860706014252
7500,200,5000,0.9,2.0,10.0,10,0.0167630923467972,0.6016753230313058
7500,200,5000,0.9,2.0,10.0,11,0.0117008318913175,0.0965676970166083
7500,200,5000,0.9,2.0,10.0,12,0.0050289591036649,0.5183825695851524
7500,200,5000,0.9,2.0,10.0,13,0.0183431238328599,0.4838027010943257
7500,200,5000,0.9,2.0,10.0,14,0.0163749272643976,0.9988381258134884
