n,n_w,p,df,kappa,noise_std,lambda,R_squared_ind,R_squared_sum
7500,1000,5000,3.0,0.05,0.5,0.01,0.026252984673740966,80.21787622343182
7500,1000,5000,3.0,0.05,0.5,0.1109090909090909,0.02653426333290453,76.84292580813998
7500,1000,5000,3.0,0.05,0.5,0.2118181818181818,0.027114982703153583,74.61648713850964
7500,1000,5000,3.0,0.05,0.5,0.3127272727272727,0.02777144228617138,72.99124362895921
7500,1000,5000,3.0,0.05,0.5,0.4136363636363636,0.028422393981304833,71.72675400057231
7500,1000,5000,3.0,0.05,0.5,0.5145454545454545,0.029038546040218115,70.69923917529498
7500,1000,5000,3.0,0.05,0.5,0.6154545454545455,0.029610870688369713,69.83778884269913
7500,1000,5000,3.0,0.05,0.5,0.7163636363636363,0.03013850932673217,69.0984876510933
7500,1000,5000,3.0,0.05,0.5,0.8172727272727273,0.030623833821654782,68.45247062016094
7500,1000,5000,3.0,0.05,0.5,0.9181818181818182,0.031070342471023304,67.87985325626451
7500,1000,5000,3.0,0.05,0.5,1.019090909090909,0.03148175092978513,67.36640776287177
7500,1000,5000,3.0,0.05,0.5,1.12,0.0318616093667203,66.90163040902557
7500,1000,5000,3.0,0.05,0.5,1.220909090909091,0.032213157281675966,66.47756095318638
7500,1000,5000,3.0,0.05,0.5,1.3218181818181818,0.03253928606250085,66.08803105685898
7500,1000,5000,3.0,0.05,0.5,1.4227272727272726,0.03284254905611362,65.7281687179836
7500,1000,5000,3.0,0.05,0.5,1.5236363636363637,0.033125190806057137,65.39406150673696
7500,1000,5000,3.0,0.05,0.5,1.6245454545454543,0.033389182137916626,65.08252164039239
7500,1000,5000,3.0,0.05,0.5,1.7254545454545454,0.033636255004829314,64.79091829351957
7500,1000,5000,3.0,0.05,0.5,1.8263636363636364,0.03386793451645635,64.51705544779367
7500,1000,5000,3.0,0.05,0.5,1.9272727272727272,0.034085567271286046,64.25908129385945
7500,1000,5000,3.0,0.05,0.5,2.028181818181818,0.03429034591040524,64.01541994077557
7500,1000,5000,3.0,0.05,0.5,2.129090909090909,0.0344833301621314,63.784719186148095
7500,1000,5000,3.0,0.05,0.5,2.2299999999999995,0.03466546477719975,63.56581004048081
7500,1000,5000,3.0,0.05,0.5,2.3309090909090906,0.034837594777976114,63.35767498281391
7500,1000,5000,3.0,0.05,0.5,2.4318181818181817,0.0350004784205358,63.1594227905659
7500,1000,5000,3.0,0.05,0.5,2.5327272727272723,0.03515479822468269,62.97026838109495
7500,1000,5000,3.0,0.05,0.5,2.6336363636363638,0.03530117037848387,62.78951651754436
7500,1000,5000,3.0,0.05,0.5,2.7345454545454544,0.035440152777408,62.6165485256225
7500,1000,5000,3.0,0.05,0.5,2.835454545454545,0.03557225191645983,62.450811379246126
7500,1000,5000,3.0,0.05,0.5,2.936363636363636,0.03569792881764481,62.29180866670738
7500,1000,5000,3.0,0.05,0.5,3.037272727272727,0.03581760414455298,62.1390930622091
7500,1000,5000,3.0,0.05,0.5,3.1381818181818177,0.035931662630299246,61.99226001187115
7500,1000,5000,3.0,0.05,0.5,3.239090909090909,0.03604045692384736,61.850942406675756
7500,1000,5000,3.0,0.05,0.5,3.34,0.03614431094219955,61.714806062926996
7500,1000,5000,3.0,0.05,0.5,3.4409090909090905,0.03624352280146291,61.58354586765968
7500,1000,5000,3.0,0.05,0.5,3.541818181818181,0.03633836738786199,61.45688247490178
7500,1000,5000,3.0,0.05,0.5,3.6427272727272726,0.03642909861991563,61.33455946086391
7500,1000,5000,3.0,0.05,0.5,3.743636363636363,0.036515951444852916,61.216340863521495
7500,1000,5000,3.0,0.05,0.5,3.8445454545454543,0.0365991436056062,61.10200904579115
7500,1000,5000,3.0,0.05,0.5,3.945454545454545,0.036678877209121115,60.99136283242458
7500,1000,5000,3.0,0.05,0.5,4.046363636363636,0.036755340122079386,60.88421587948592
7500,1000,5000,3.0,0.05,0.5,4.147272727272727,0.03682870721624429,60.7803952423136
7500,1000,5000,3.0,0.05,0.5,4.248181818181818,0.036899141482401435,60.67974011356032
7500,1000,5000,3.0,0.05,0.5,4.349090909090909,0.03696679502914041,60.58210070754219
7500,1000,5000,3.0,0.05,0.5,4.449999999999999,0.03703180998044,60.487337270917195
7500,1000,5000,3.0,0.05,0.5,4.550909090909091,0.03709431928408512,60.395319202829036
7500,1000,5000,3.0,0.05,0.5,4.651818181818181,0.03715444744131113,60.30592427022644
7500,1000,5000,3.0,0.05,0.5,4.752727272727272,0.03721231116668677,60.21903790620049
7500,1000,5000,3.0,0.05,0.5,4.853636363636364,0.03726801998606349,60.134552580961596
7500,1000,5000,3.0,0.05,0.5,4.954545454545454,0.03732167677941556,60.05236723656259
7500,1000,5000,3.0,0.05,0.5,5.055454545454545,0.03737337827452987,59.972386777723955
