n,n_w,p,rank,alpha,kappa,noise_std,lambda,R_squared_ind,R_squared_sum
7500,1000,5000,5,0.1,0.05,0.5,0.01,0.367058503284846,0.9172295854853164
7500,1000,5000,5,0.1,0.05,0.5,0.1109090909090909,0.37534438852730934,0.9330385433384493
7500,1000,5000,5,0.1,0.05,0.5,0.2118181818181818,0.3827432505832162,0.9473826418119525
7500,1000,5000,5,0.1,0.05,0.5,0.3127272727272727,0.3893971478290517,0.9604871360024108
7500,1000,5000,5,0.1,0.05,0.5,0.4136363636363636,0.39541782052595553,0.9725286474818844
7500,1000,5000,5,0.1,0.05,0.5,0.5145454545454545,0.40089464120058754,0.98364836791025
7500,1000,5000,5,0.1,0.05,0.5,0.6154545454545455,0.4059001352090948,0.9939610464974484
7500,1000,5000,5,0.1,0.05,0.5,0.7163636363636363,0.41049390753043785,1.00356128149154
7500,1000,5000,5,0.1,0.05,0.5,0.8172727272727273,0.4147254954880955,1.0125280329712776
7500,1000,5000,5,0.1,0.05,0.5,0.9181818181818182,0.4186364802184207,1.0209279296667515
7500,1000,5000,5,0.1,0.05,0.5,1.019090909090909,0.42226207568027485,1.0288177382432924
7500,1000,5000,5,0.1,0.05,0.5,1.12,0.4256323424241687,1.0362462383953637
7500,1000,5000,5,0.1,0.05,0.5,1.220909090909091,0.4287731272593981,1.043255668291207
7500,1000,5000,5,0.1,0.05,0.5,1.3218181818181818,0.43170679961399416,1.0498828539849507
7500,1000,5000,5,0.1,0.05,0.5,1.4227272727272726,0.43445283498957854,1.0561601027480048
7500,1000,5000,5,0.1,0.05,0.5,1.5236363636363637,0.4370282819525297,1.0621159175541677
7500,1000,5000,5,0.1,0.05,0.5,1.6245454545454543,0.4394481393832512,1.0677755743343158
7500,1000,5000,5,0.1,0.05,0.5,1.7254545454545454,0.44172566383332185,1.0731615926944167
7500,1000,5000,5,0.1,0.05,0.5,1.8263636363636364,0.4438726219123157,1.0782941230328273
7500,1000,5000,5,0.1,0.05,0.5,1.9272727272727272,0.4458994990457132,1.0831912674032909
7500,1000,5000,5,0.1,0.05,0.5,2.028181818181818,0.44781567331241956,1.0878693473892236
7500,1000,5000,5,0.1,0.05,0.5,2.129090909090909,0.4496295611124116,1.0923431292389403
7500,1000,5000,5,0.1,0.05,0.5,2.2299999999999995,0.4513487399436501,1.096626014257243
7500,1000,5000,5,0.1,0.05,0.5,2.3309090909090906,0.4529800524509019,1.1007302007459556
7500,1000,5000,5,0.1,0.05,0.5,2.4318181818181817,0.4545296950541283,1.104666822487084
7500,1000,5000,5,0.1,0.05,0.5,2.5327272727272723,0.45600329380380034,1.1084460677622892
7500,1000,5000,5,0.1,0.05,0.5,2.6336363636363638,0.4574059695964291,1.1120772821258826
7500,1000,5000,5,0.1,0.05,0.5,2.7345454545454544,0.45874239448036713,1.1155690575407586
7500,1000,5000,5,0.1,0.05,0.5,2.835454545454545,0.4600168404633904,1.118929310007277
7500,1000,5000,5,0.1,0.05,0.5,2.936363636363636,0.4612332219802243,1.1221653474343176
7500,1000,5000,5,0.1,0.05,0.5,3.037272727272727,0.46239513297542195,1.125283929197151
7500,1000,5000,5,0.1,0.05,0.5,3.1381818181818177,0.4635058793937576,1.1282913185817058
7500,1000,5000,5,0.1,0.05,0.5,3.239090909090909,0.4645685077381091,1.1311933291163079
7500,1000,5000,5,0.1,0.05,0.5,3.34,0.46558583024719163,1.1339953656304207
7500,1000,5000,5,0.1,0.05,0.5,3.4409090909090905,0.4665604471574585,1.1367024607475589
7500,1000,5000,5,0.1,0.05,0.5,3.541818181818181,0.46749476644107146,1.1393193074107264
7500,1000,5000,5,0.1,0.05,0.5,3.6427272727272726,0.46839102135204574,1.1418502879486625
7500,1000,5000,5,0.1,0.05,0.5,3.743636363636363,0.46925128606304156,1.1442995001164193
7500,1000,5000,5,0.1,0.05,0.5,3.8445454545454543,0.47007748963392865,1.1466707804813603
7500,1000,5000,5,0.1,0.05,0.5,3.945454545454545,0.47087142851866304,1.1489677254734043
7500,1000,5000,5,0.1,0.05,0.5,4.046363636363636,0.47163477778795626,1.1511937103743102
7500,1000,5000,5,0.1,0.05,0.5,4.147272727272727,0.4723691012207413,1.1533519064836724
7500,1000,5000,5,0.1,0.05,0.5,4.248181818181818,0.47307586039671945,1.1554452966677746
7500,1000,5000,5,0.1,0.05,0.5,4.349090909090909,0.4737564229046981,1.1574766894706752
7500,1000,5000,5,0.1,0.05,0.5,4.449999999999999,0.474412069766458,1.1594487319440263
7500,1000,5000,5,0.1,0.05,0.5,4.550909090909091,0.4750440021631042,1.1613639213325282
7500,1000,5000,5,0.1,0.05,0.5,4.651818181818181,0.4756533475399003,1.1632246157351473
7500,1000,5000,5,0.1,0.05,0.5,4.752727272727272,0.4762411651561787,1.165033043847685
7500,1000,5000,5,0.1,0.05,0.5,4.853636363636364,0.4768084511388042,1.1667913138798043
7500,1000,5000,5,0.1,0.05,0.5,4.954545454545454,0.47735614309067403,1.1685014217287724
7500,1000,5000,5,0.1,0.05,0.5,5.055454545454545,0.47788512429966035,1.170165258482743
7500,1000,5000,5,0.1,0.05,0.5,5.156363636363636,0.47839622758814604,1.1717846173182116
7500,1000,5000,5,0.1,0.05,0.5,5.257272727272727,0.4788902388387101,1.1733611998491282
7500,1000,5000,5,0.1,0.05,0.5,5.3581818181818175,0.47936790022753106,1.1748966219788595
7500,1000,5000,5,0.1,0.05,0.5,5.459090909090909,0.4798299131935722,1.176392419300726
7500,1000,5000,5,0.1,0.05,0.5,5.56,0.4802769411685558,1.1778500520879955
7500,1000,5000,5,0.1,0.05,0.5,5.66090909090909,0.4807096120900452,1.1792709099099654
7500,1000,5000,5,0.1,0.05,0.5,5.761818181818182,0.4811285207175818,1.1806563159070091
7500,1000,5000,5,0.1,0.05,0.5,5.862727272727272,0.48153423076974844,1.1820075307541493
7500,1000,5000,5,0.1,0.05,0.5,5.963636363636363,0.48192727689818093,1.183325756339769
7500,1000,5000,5,0.1,0.05,0.5,6.064545454545455,0.4823081665129266,1.1846121391834747
7500,1000,5000,5,0.1,0.05,0.5,6.165454545454545,0.4826773814721001,1.1858677736147767
7500,1000,5000,5,0.1,0.05,0.5,6.266363636363636,0.48303537964751253,1.1870937047322283
7500,1000,5000,5,0.1,0.05,0.5,6.367272727272727,0.48338259637679853,1.1882909311607643
